a.m.,เอเอ็ม,ก่อนเที่ยง
revenge,รีเฝ้นจ,ความพยาบาท
revenue,เร๊ฝเฝนิว,"รายได้,ภาษี"
revere,รีเฝียร์,เคารพนับถือ
reverse,รีเฝิร์ส,กลับด้าน
review,รีฝิล,"พิจารณา,ตรวจ"
revise,รีไฝ้ส,แก้ไข
revoke,รีโฝ้ค,"ถอน,ลบล้าง"
revolution,เร๊ฝโฝลูชั่น,ปฏิวัติ
revolve,รีโฝ้ลฝ,หมุน
reward,รีวอร์ด,รางวัล
rewind,รีไวนด์,(หมุน)กลับ
rhinoceros,ไรโน๊ซะเริส,แรด
rhythm,ริธึ่ม,จังหวะดนตรี
rib,ริบ,ซีโครง
rice,ไร๊ซ์,ข้าวสาร
rich,ริ๊ช,"รวย,เต็มไปด้วย"
riddle,ริ๊ดเดิ้ล,ปริศนา
ride,ไรด์,ขี่
ridge,ริดจ,สันหลัง
ridiculous,ริดิ๊คคิวลัส,น่าหัวเราะเยาะ
rifle,ไร๊เฟิ่ล,ปืนยาว
right,ไร๊ท,"ถูก,ขวา,สิทธิ"
rigid,ริ๊จิด,"แข็ง,เกร็ง"
ring,ริง,"วง,แหวน,สั่นกระดิ่ง"
ring finger,ริง ฟิงเกอ,นิ้วนาง
riot,ไรอ๊อท,จราจล
rise,ไร๊ส,ขึ้น
risk,ริ๊ซค,เสี่ยง
rival,ไร๊ฝ่อล,คู่แข่ง
river,ริ๊เฝ่อร์,แม่น้ำ
road,โร้ด,"ถนน,ทาง,วิถี"
roam,โรม,ท่องเที่ยวไป
roar,โร,แผดเสียง
rob,ร๊อบ,ขโมย
robot,โรบ๊อท,หุ่นยนต์
rock,ร๊อค,"หิน,เขย่า"
rocket,ร๊อคเค๊ต,จรวด
role,โรล,บทบาท
roll,โรลล,กลิ้ง
romance,โรแม๊นซ์,โรแมนติก
roof,รู๊ฟ,หลังคา
room,รูม,"ห้อง,ที่ว่าง"
rooster,รู๊สเตอะ,ไก่ตัวผู้
root,รู๊ท,ราก
rope,โร๊พ,เชือก
rose,โรส,ดอกกุหลาบ
roselle juice,โรเซลล์ จูส,น้ำกระเจี๊ยบ
rot,ร๊อท,เน่า
rotate,โร๊เถท,หมุน
rough,รั๊ฟ,หยาบ
round,ราวนด,"รอบ,กลม"
route,รู๊ท,เส้นทาง
routine,รูทีน,เป็นประจำ
row,โรว์,"แถว,พาย"
royal,ร๊อยัล,เกี่ยวกับกษัตริย์
rubber,รั๊บเบ่อร์,ยาง
rubber mat,รับเบอร์ แมท,ยางปูพื้นกันลื่น
rubber slippers,รับเบอร์ สลิพเพอร์ส,รองเท้ายางใช้ในห้องน้ำ
ruby,รู๊บี้,ทับทิม
rude,รู๊ด,หยาบคาย
rugby,รั๊กบิ,รักบี้
ruin,รูอิน,"ปรักหักพัง,หายนะ"
rule,รูล,กฎ
ruler,รู๊ลเลอะ,ไม้บรรทัด
rum,รัม,เหล้ารัม
rumor,รู๊เม่อร์,ข่าวลือ
run,รัน,"วิ่ง,ดำเนินการ"
running,รันนิ่ง,วิ่งแข่ง
rural,รู๊ร่อล,ท้องถิ่น
rush,รัช,รีบเร่ง
rust,รัสท,สนิม
ruthless,รูธเลสส,อำมหิต
sack,แซ๊ค,"กระสอบ,ไล่ออก"
sacrifice,แซ๊คริไฟซ์,บูชายัญ
sad,แซ้ด,"เสียใจ,เศร้า"
safari,ซาฟ๊ารี,การเที่ยวยิงสัตว์
safe,เซฟ,ปลอดภัย
sag,แซ๊ก,"หย่อน,ยาน"
sail,เซล,ล่องเรือ
sailing,เซ๊ลลิง,แข่งเรือใบ
sailor,เซล เลอะ,ทหารเรือ
saint,เซ๊นท,นักบุญ
sake,เซ้ค,ประโยชน์
salary,ซ๊ารารี่,เงินเดือน
sale,เซล,"ขาย,ลดราคา"
salesman,เซ๊ลสเมิน,นักขายชาย
Salt,ซอลทฺ, เกลือ
Salted butter,ซอล’ทิด บัท’เทอะ, เนยเค็ม
salute,ซัลหลูท,"สรรเสริญ,คำนับ"
salvage,แซ๊ลเหวจ,"กู้(เรือ),ช่วยเหลือ"
same,เซม,"เหมือนกัน,เดียวกัน"
sample,แซ๊มเพิ่ล,ตัวอย่าง
sanction,แซ๊งชั่น,"การลงโทษ,คว่ำบาท"
sand,แซนด์,ทราย
sane,เซน,สติดี
sanitary,แซ๊นนิทารี่,ถูกหลักอนามัย
satellite,แซ๊ทเทลไล้ท,ดาวเทียม
satisfy,แซ๊ททิซไฟ,พอใจ
saturate,แซ๊ททิวเหรท,อิ่มตัว
sauce,ซ๊อซ,เครื่องปรุงรส
sausage,ซอส’ซิจฺ,ไส้กรอก
savage,แซเหวจ,"โหดร้าย,รุนแรง"
save,เซฝ,"ช่วย(ชีวิต),ประหยัด,ออม"
saw,ซอว์,เลื่อย
say,เซย์,"พูด,บอก"
scale,สเกล,ตาชั่ง
scandal,สแค๊นด่อล,อื้อฉาว
scarce,สแคร์ซ,ขาดแคลน
scare,สแคร์,ตกใจกลัว
scene,ซีน,"ฉาก,สถานที่เกิดเหตุ"
schedule,สเค๊ดดูล,"ตาราง,กำหนดการ"
scholar,สคอล่าร์,"ทุนการศึกษา,นักเรียนทุน"
school,สคูล,โรงเรียน
schoolbag,สกู๊ลแบก,กระเป๋านักเรียน
science,ไซ๊แอ้นซ,วิทยาศาสตร์
science room,ไซ๊เยิน รูม,ห้องวิทยาศาสตร์
scientist,โซ เอนทิสทฺ,นักวิทยาศาสตร์
scissors,ซิ๊สเซอส,กรรไกร
scold,สโคลด์,"ดุ,ด่า"
scope,สโคพ,ขอบเขต
score,สคอร์,คะแนน
scorpion,สก๊อเพียน,แมงป่อง
scout,สเค๊าท,"ลูกเสือ,ทหารพราน"
scramble,สแคร๊มเบิ้ล,ตะกาย
Scramble egg ,สแครม’เบิล เอก, ไข่คน
scratch,สแครทช,"ขีด,ข่วน"
scream,สครีม,กรีดร้อง
screen,สครีน,"ฉาก,บัง,กรอง,ร่อน"
screw,สครูว์,"ตะปูเกียว,กวดขัน"
script,สคริพท์,บท
sculptor,สคัลพฺ เทอะ,ช่างแกะสลัก
sea,ซี,ทะเล
seahorse,ซี๊ฮอส,ม้าน้ำ
seal,เซียล,แมวน้ำ
seal ,ซีล,แมวน้ำ
search,เซิร์ช,"ค้น,หา"
season,ซี๊ซั่น,"ฤดู,ปรุงรส"
second,เซ๊คคั่น,"ที่สอง,วินาที"
secret,ซี๊เขร็ท,ความลับ
secretary,เซ คริเทรี,เลขานุการ
section,เซ๊คชั่น,"ส่วน,ตอน"
sector,เซ๊คเท่อร์,ภาคส่วน
secure,เซ๊คเคียวร์,"ปลอดภัย,มั่นคง"
security guard,ซิเคี๊ยวริทิ กาด,ยามรักษาความปลอดภัย
see,ซี,เห็น
seed,ซีด,เมล็ดพันธุ์
seek,ซี๊ค,ค้นหา
seem,ซีม,"ดูราวกับ,เหมือนกับว่า"
segment,เซ๊กเม้นท,ส่วน(ที่เกิดจากการแบ่ง)
seize,ซี๊ซ,"จับ,ยึด"
seldom,เซ๊ลดั้ม,นานครั้ง
select,ซิเล็คท,เลือกสรร
self,เซลฟ์,ตนเอง
self-,เซลฟ์-,"ด้วยตนเอง,ตนเอง"
sell,เซลล์,ขาย
semester,ซีเม๊สเท่อร์,ภาคเรียน
semi-,เซมิ-,กึ่ง
senate,ซีเหนท,วุฒิสภา
send,เซ็นด,ส่ง
senior,ซี๊เหนี่ย,"อาวุโส,แก่กว่า"
sense,เซ้นส,"ความรู้สึก,มีเหตุผล"
sentence,เซ๊นเท้นซ,"ประโยค,คำพิพากษา"
sentiment,เซ๊นทิเม็นท,ความรู้สึก
separate,เซ๊พาเหรท,แยก
septic,เซ๊พทิค,มีเชื้อโรค
sequence,ซีเคว้นซ,ลำดับ(ของเหตุการณ์)
series,ซี๊รี่,"ลำดับ,ชุด"
serious,ซี๊เรี๊ยส,"เอาจริงเอาจัง,ขึงขัง"
servant,เซอ แวนทฺ,คนรับใช้
serve,เซิร์ฝ,"บริการ,รับใช้"
service,เซ๊อร์ฝิซ,"บริการ,รับราชการ"
session,เซ๊ซชั่น,การประชุม
set,เซ็ท,"ตั้ง,ก่อ,วาง"
settle,เซ็ทเทิ่ล,"เข้าที่,ตั้งถิ่นฐาน"
seven,เซเฝ่น,เจ็ด
several,เซ๊ฝเฝอรัล,"หลายครั้ง,หลายคน,นานา"
severe,ซีเฝีย,รุนแรง
sex,เซ็กซ,เพศ
shade,เฉด,"ร่ม,เงา"
shaft,ชาร์ฟท,เพลา
shake,เช้ค,"สั่น,เขย่า"
shall,แชลล์,จะ
shallot,แชลลอม,"หอมแดง, หอม"
shallow,แชลโล่ว,ตื้น
shame,เชม,"น่าอาย,อดสู"
shampoo,แช๊มพู,แชมพู
shank,แช๊งค,ขาท่อนล่าง
shape,เชพ,รูปร่าง
share,แชร์,"แบ่ง,ส่วนแบ่ง,หุ้น"
shark,ชาค,ปลาฉลาม
sharp,ชาร์พ,"คม,ชัด"
shave,เชฟว์,โกน
shaver,เชฟเวอร์,มีดโกนหนวดไฟฟ้า
shaving cream,เชฟวิง ครีม,ครีมโกนหนวด
She,ชี,เธอ
sheep,ชีพ,แกะ
shelf,เชลฟ์,ชั้นวางของ
shell,เชลล์,"หอยเชลล์,เปลือก"
shelter,เช๊ลเท่อร์,ที่กำบัง
sheme,เชม,แผนการ
sheriff,เช๊อริฟฟ์,นายอำเภอ
shield,ชีลด,"โล่,กระบัง,เกราะ"
shift,ชิฟท์,"เคลื่อน,ย้าย,กะ,เวร"
shin,ชิน,หน้าแข้ง
shine,ไชน์,ส่องแสง
ship,ชิพ,เรือ
shirt,เชิ๊ร์ท,เสื้อเชิ๊ต
shiver,ชีฝเฝ่อร์,"สั่น,หนาวสั่น"
shock,ช๊อค,"ตกใจ,สะดุ้ง"
shoe,ชู,รองเท้า
shoemaker,ชู เมคเคอะ,ช่างทํารองเท้า
shoot,ชู๊ท,"ยิง,ถ่าย(ภาพ)"
shooting,ชู๊ททิง,ยิงปืน
shop,ช๊อพ,"ร้านค้า,โรงงาน"
shop assistant,ช็อพ อะซิ๊สเตินท,พนักงานประจำร้าน
shopkeeper,ช็อพคี๊พเพอะ,เจ้าของร้าน
shore,ชอร์,ชายทะเล
short,ช๊อร์ท,"สั้น,(ทาง)ลัด,ขาดแคลน"
shoulder,โช๊ลเด้อร์,ไหล่
shout,เช๊าท,ตะโกน
show,โชว์,แสดง
shower,เช๊าเวอะ,ฝักบัว
shower booth,ชาวเวอร์ บูธ,ตู้อาบน้ำ
shower cap,ชาวเวอร์ แคป,หมวกคลุมผมอาบน้ำ
shower curtain,ชาวเวอร์ เคอร์เทิน,ม่านกั้นน้ำฝักบัว
shower shelf,ชาวเวอร์ เชลฟ์,ชั้นวางอุปกรณ์อาบน้ำ
shrimp,ชิ๊มพ์,กุ้ง
Shrimp paste,ชริมพฺ พาสท, กะปิ
shrink,ชิ๊งค,หด
shuffle,ชั๊ฟเฟิ่ล,สับเปลี่ยน
shut,ชั๊ท,ปิด
shuttle,ชั๊ทเทิ่ล,กระสวย
shy,ชาย,ขี้อาย
sick,ซิ๊ค,ป่วย
side,ไซด์,"ด้าน,ข้าง,ฝ่าย"
siege,ซี๊จ,ล้อม
sight,ไซ๊ท,เห็น
sign,ซายน,"เครื่องหมาย,อาการ,เซ็นชื่อ"
significant,ซิกนี๊ฟิแค่นท,สำคัญ
silent,ไซ๊เล่นท,เงียบ
silk,ซิ้ลค,ไหม
silly,ซิ๊ลลี่,โง่
silver,ซิ๊ลเวอะ,สีเงิน
similar,ซิ๊มิล่าร์,เหมือนกัน
simple,ซิ๊มเพิ่ล,"ง่าย,เรียบ"
simulate,ซิ๊มูเหลท,จำลอง
sin,ซิน,บาป
since,ซิ๊นซ,ตั้งแต่
sincere,ซินเซียร์,จริงใจ
sinew,ซิ๊นนิว,เอ็น
sing,ซิง,ร้องเพลง
singer,ซิ๊งเงอะ,นักร้อง
single,ซิ๊งเกิ้ล,"เดี่ยว,โสด"
sink,ซิงค์,อ่างล้างหน้า
sink strainer,ซิงค์ สเทรนเนอร์,สะดืออ่าง
sir,เซ่อร์,ท่าน
siren,ไซ๊เร่น,หวูด
sirup,ไซ๊หรัพ,น้ำเชื่อม
Sister,ซิส'เทอะ,"น้องสาว, พี่สาว"
sit,ซิท,นั่ง
site,ไซ๊ท,"ที่ตั้ง,ทำเล"
situation,ซิ๊ทูเอชั่น,สถานการณ์
six,ซิกซ์,หก
size,ไซ๊ซ,ขนาด
skateboarding,สเก๊ตบอดดิง,สเกตบอร์ด
skating,สเก๊ททิง,สเกต
skeleton,สเค๊เลทั่น,โครงกระดูก
sketch,สเค๊ทช,ร่าง
skiing,สกี๊อิง,สกี
skill,สกิลล,ความชำนาย
skin,สกิน,ผิวหนัง
skip,สคิพ,ข้าม
skirt,สเคิ๊ร์ท,"กระโปรง,ขอบ"
skull,สคั๊ลล,กระโหลกศีรษะ
sky,สกาย,ท้องฟ้า
skydiving,สกายเดฟวิ่ง,กระโดดร่ม
slash,สแหล๊ช,"เฉือน,ตัด"
slate,สเล๊ท,กระดานชนวน
slave,สเล๊ฝ,ทาส
sleep,สลี๊พ,หลับ
slender,สเล็นเด้อร,อ้อนแอ้น
slice,สไล๊ซ,"แล่,เฉือน"
slide,สไล๊ด,"เลื่อน,ไถล"
slim,สลิม,"ผอม,บาง"
slip,สลิ๊พ,"ลื่น,ไหล"
slogan,สโล๊แก้น,สโลแกน
slope,สโล๊พ,"เอียง,ลาด"
slow,สโลว์,ช้า
slum,สลัม,สลัม
slump,สลั๊มพ,(ราคา)ตกต่ำ
small,สมอลล์,เล็ก
small intestine,สมอล อินเท็สติน,ลำไส้เล็ก
smart,สมาร์ท,"โก้,ฉลาด"
smash,สแม๊ช,"ชน,พัง,แหลก"
smell,สเมลล์,กลิ่น
smile,สไมล์,ยิ้ม
smoke,สโม๊ค,"ควัน,สูบบุหรี่"
smooth,สมู๊ธ,ราบเรียบ
smoothie,สมูธธี่,น้ำผลไม้ปั่น
smuggle,สมั๊กเกิ้ล,ลักลอบหนีภาษี
snack,สแน๊ค,อาหารว่าง
Snack ,สะแนก, อาหารว่าง
snail,สเนล,ทาก
snake,สเนค,งู
snooker,สนุ๊คเคอะ,สนุกเกอร์
snow,สโนว์,หิมะ
snowboarding,สโน๊บอดดิง,สโนว์บอร์ด
so,โซ,ดังนั้น
so + adj.,,",-จริงๆ"
soap,โซพ,สบู่
soap dish,โซพ ดิช,จานวางสบู่
soap dispenser,โซพ ดิสเพนเซอร์,ขวดกดสบู่เหลว
socialism,โซ๊เชี่ยลิซึ่ม,ลัทธิสังคมนิยม
society,โซไซ๊ที่,สังคม
sock,ซ๊อค,ถุงเท้า
soda,โซดา,โซดา
soft,ซ๊อฟท,"อ่อน,นุ่ม"
soft drink,ซอฟท์ดริงค์,น้ำอัดลม
Soft Drink ,ซอฟทฺ ดริง,น้ำอัดลม
softball,ซ๊อฟท์บอล,ซอฟต์บอล
soil,ซอยล์,"ดิน,มลทิน"
solar,โซ๊ล่าร์,"ดวงอาทิตย์,ดีเซล"
soldier,โซ๊ลเจอะ,ทหาร
sole,โซล,"โดเดี่ยว,คนเดียว"
solenoid,โซ๊ลินอยล์,ขดลวดแม่เหล็กไฟฟ้า
solid,โซ๊หลิด,ของแข็ง
solo,โซ๊โล่,เดี่ยว
solution,โซลู๊ชั่น,"ทางออก,วิธีแก้ปัญหา"
solve,โซ๊ลฝ,แก้ปัญหา
some,ซัม,"บาง(คน,อัน,ชิ้น..)"
Son,ซัน,ลูกชาย
sonic,โซ๊หนิค,เกี่ยวกับเสียง
soon,ซูน,เร็วๆนี้
sorrow,ซ๊อโร่ว,"เสียใจ,เศร้า"
sorry,ซ๊อรี่,เสียใจ
sort,ซ๊อร์ท,ชนิด
SOS,เอสโอเอส,สัญญาณขอความช่วยเหลือ
soul,โซล,วิญญาณ
sound,ซาวน์ด,เสียง(ที่ไม่ใช่เสียงพูด)
Soup,ซูพ,น้ำซุป
sour,ซาวร์,"เปรี้ยว,บูด"
source,ซ๊อร์ซ,"แหล่ง,ที่มา"
south,เซ๊าธ,ทิศใต้
souvenir,ซูฝีเหนี่ย,ของที่ระลึก
sovereign,โซ๊เฝอร์ริ้นจ,ยิ่งใหญ่
Soy sauce,ซอย-ซอส,ซอสถั่วเหลือง
space,สเพ๊ซ,"อวกาศ,ที่ว่าง,เนื้อที่"
spaghetti,สพะเกท’ที,สปาเก็ตตี้
span,สแพน,"ระยะ,ช่วง"
spare,สแพร์,"สำรอง,ว่าง"
spark,สพ๊าร์ค,ประกายไฟ
speak,สพี๊ค,พูด
special,สเพ๊เชี่ยล,พิเศษ
specific,สเพ๊ซิ๊ฟิค,"โดยเฉพาะ,เจาะจง"
speculate,สเพ๊คคิวเหลท,เก็งกำไร
speech,สพีช,คำปราศัย
speed,สพี๊ด,"ความเร็ว,เร่ง"
spell,สเพลล,"สะกด(คำ),คำสาป"
spend,สเพ็นด,"ใช้(เวลา,เงิน)"
sphere,สเฟียร์,ลูกกลม
spice,สไพ๊ซ,"เผ็ด,เผ็ดร้อน"
spider,สไป๊เดอะ,แมงมุม
spill,สพิลล,"หก,ล้น,สาด"
spin,สพิน,"ปั่น,หมุน"
spinach,สพิน’นิจ,ผักโขม
Spinach soup,สพิน’นิจ ซูพ, ซุปผัดโขม
spine,สไปน,กระดูกสันหลัง
spiral,สไพ๊ร่อล,ขดเป็นวง
spirit,สพีหริท,"วิญญาณ,จิตใจ"
spleen,สปลีน,ม้าม
split,สพลิ๊ท,"ผ่าออก,แยกออก"
spoil,สพอยล์,"ทำให้เสีย,ทำให้เสียคน"
sponge,สพอนจ์,ฟองน้ำ
sponsor,สพ๊อนเซ่อร์,ผู้สนับสนุน
spontaneous,สพอนเท๊เนียซ,"โดยทันที,เป็นไปเอง"
spoon,สพูน,ช้อน
sport,สปอท,กีฬา
sport man,สปอท แมน,นักกีฬา
spot,สพอท,"จุด,ที่"
spouse,สเพ๊าส,คู่สมรส
spray,สเพรย์,ฉีด(เป็นฝอย)
spread,สเพร๊ด,"กระจาย,แผ่"
spring,สพริง,"เด้ง,ขดลวด,ฤดูใบไม้ผลิ"
sprout,ซพเราท,ถั่วงอก
spy,สพาย,"สายลับ,สอดแนม"
sqaush,สคอช,สควอช
square,สแควร์,"สี่เหลียมจตุรัส,พื้นที่สี่เหลียม"
squash,สควอช,น้ำผลไม้คั้น
squeeze,สควี๊ซ,"บีบ,คั้น"
squid,สกวิด,ปลาหมึก
stable,สเท๊เบิ้ล,มั่นคง
staff,สทัฟฟ,"พนักงาน,คนที่ทำงานร่วมกัน"
stage,สเท๊จ,"เวที,ขั้น,ตอน"
stain,สเทน,"รอยด่าง,รอยเปื้อน"
stair,สแทร์,บันได
stake,สเท๊ค,"ส่วนได้ส่วนเสีย,ผลประโยชน์ที่จะได้รับ"
stamp,สแทมพ์,"ประทับตรา,สแตมป์"
stand,สแทนด์,"ยืน,ตั้ง,คงอยู่"
standard,สแท๊นดาร์ด,มาตราฐาน
star,สทาร์,ดาว
starch,สท๊าร์ช,แป้ง
stare,สแทร์,จ้องมอง
starfish,สต๊าฟิช,ปลาดาว
start,สท๊าร์ท,เริ่มต้น
starve,สท๊าร์ฝ,อดอาหาร
state,สเทท,"รัฐ,ภาวะ,สภาพ"
statement,สเททเม้นท,แถลงการณ์
statics,สแทถิคส์,สถิตย์
station,สเทชั่น,สถานี
stationery,สเท๊ชั่นเนอรี่,เครื่องเขียน
statistics,สเทที๊ซถิคส์,สถิติ
statue,สแท๊ทิ้ว,รูปปั้น
status,สเท๊ทัซ,สถานะ
stay,สเทย์,พัก
stead,สเท้ด,แทน
steady,สเท๊ดี้,"คงตัว,สม่ำเสมอ"
steal,สทีล,ขโมย
steam,สทีม,ไอน้ำ
steel,สทีล,เหล็กกล้า
steer,สเทียร์,"คัดท้าย,เลี้ยว,จับพวงมาลัย"
stem,สเท็ม,"ต้น,ตระกูล"
step,สเท็พ,"ก้าว,ขั้น"
step-,สเท็พ-,",-เลี้ยง"
sterile,สเทอไรล์,ปราศจากเชื้อ
stick,สทิ๊ค,"กิ่งไม้,ติด,แน่น"
stigma,สทิ๊กม่า,ตราบาป
still,สทิลล,"นิ่ง,ยังคง"
stimulate,สทิ๊มูเหลท,กระตุ้น
sting,สทิง,"เหล็กใน,ต่อย"
stir,สเทอร์,"กวน,ขยับ"
stock,สท๊อค,"สินค้าคงคลัง,สะสม"
stomach,สโท๊มัช,ท้อง
stone,สโทน,หิน
stop,สท๊อพ,"หยุด,เลิก"
storage,สโท๊เหรจ,"โกดัง,การเก็บรักษา"
store,สโทร์,"ร้าน,สะสม,เก็บ"
storey,สโท๊รี่,ชั้น(ของตึก)
storm,สทอร์ม,พายุ
story,สท๊อรี่,เรื่องราว
stove,สโท๊ฝ,เตา
straight,สเทร๊ท,"ตรง,ทางตรง,ตรงไปตรงมา"
strain,สเทรน,"ดึง,ตึงเครียด"
strand,สแทรนด,เกยตื้น
strange,สเทร๊งจ,"แปลก,ประหลาด"
strawberry,สตร๊อเบริ,สตร๊อเบริ
Strawberry cake,สทรอ’เบอรี เค้ก,เค้กสตอเบอรี่
streak,สทรี๊ค,"แนว,เส้น"
stream,สทรีม,"ลำธาร,กระแสน้ำ"
street,สทรีท,ถนน(ในเมือง)
stress,สเทรสส,"ย้ำ,ความเค้น"
stretch,สเทร๊ทช,"ขึง,ดึง"
strict,สทริคท,"เข้มงวด,กวดขัน"
strike,สไทร๊ค,"ตี,ต่อย,โจมตี"
string,สทริง,"ด้าย,เส้น,สาย"
strong,สทรอง,"แข็งแรง,แรง"
structure,สทรั๊คเจ่อร,โครงสร้าง
struggle,สทรั๊กเกิ้ล,ดิ้นรน
student,สติ๊วเดินท,นักเรียน
study,สทีดดี้,"เรียน,ศึกษา"
stuff,สทั๊ฟฟ,"วัตถุ,สิ่งของ"
stupid,สทิ๊วผิด,"โง่,เซ่อ"
sturdy,สเท๊อร์ดี้,"ถาวร,ทนทาน"
style,สไทล์,"แบบ,แนว"
styling wax,สไทลิง แวกซ์,แว๊กซ์สำหรับจัดแต่งทรงผม
stylist,สไต ลิสทฺ,นักออกแบบ
sub-,ซับ-,"ใต้,ย่อย,ด้อย,ช่วง"
subject,ซั๊บเจ็คท,"เรื่อง,วิชา,ขึ้นอยู่กับ"
submarine,ซั๊บมารีน,เรือดำน้ำ
submerge,ซับเมิร์จ,"จมน้ำ,แช่น้ำ"
submit,ซับมิท,"เสนอ,ยอม"
subordinate,ซับบ๊อร์ดิเหนท,ลูกน้อง
subsidy,ซั๊บซิดี้,"อุดหนุน,บำรุง"
substance,ซั๊บสแท้นซ,"เนื้อหา,ใจความ,แก่นสาร"
subtract,ซับแทร๊คท,"ลบ,หัก"
suburb,ซั๊บเบิร์บ,ชานเมือง
subway,ซั๊บเวย์,รถใต้ดิน
succeed,ซัคซี๊ด,"สืบทอด,บรรลุผล"
success,ซัคเซสส,ความสำเร็จ
such,ซัช,เช่น
suddenly,ซั๊ดเด้นลี่,ทันที
sue,ซู,ฟ้อง
suffer,ซั๊ฟเฟ่อร์,"เจ็บปวด,เสียหาย"
Sugar,ชู’กะ, น้ำตาล
suggest,ซั๊กเจสท,แนะนำ
suicide,ซุยไซ้ด,ฆ่าตัวตาย
suit,ซุ๊ท,"เสื้อสูท,เหมาะสม"
sum,ซัม,รวม
summary,ซั๊มมารี่,สรุปย่อ
summer,ซั๊มเม่อร์,ฤดูร้อน
summit,ซั๊มหมิท,ประชุมสุดยอด
sumo,ซูโม่,ซูโม่
sun,ซัน,ดวงอาทิตย์
super,ซู๊เพ้อร์,ดีพิเศษ
super-,ซุ๊พเพ้อร-,"เหนือ,เลิศ"
superb,ซุพเพ๊อร์บ,ดีเลิศ
superior,ซุ๊พีเหรี่ย,"เหนือกว่า,สูงกว่า,ดีกว่า"
supersede,ซุพเพ่อร์ซี๊ด,แทนที่
superstitious,ซุเพ่อร์สทิเชี๊ยส,ความเชื่องมงายเรื่องผีหรือเทพ
supervise,ซุพเพ่อร์ไว้ซ,"ดูแล,ตรวจตรา"
supper,ซัพ’เพอะ,อาหารมื้อสุดท้ายของวัน
supplement,ซั๊พเพิ่ลเม้นท,"ผนวก,เสริม"
supply,ซั๊พพลาย,"จัดให้,ส่งเสบียง"
support,ซั๊พผอร์ท,สนับสนุน
suppose,ซั๊พโพ้ส,"สมมติ,ถือเอาว่า"
suppress,ซั๊พเพรส,"ปราบ,กำจัด,ระงับ"
supreme,ซูพรีม,สูงสุด
surcharge,เซอร์ชาร์จ,เงินที่เก็บเพิ่ม
sure,ชัวร์,"แน่ใจ,แน่นอน"
surface,เซ๊อร์เฟซ,"ผิวหน้า,ผิวพื้น"
surfing,เซอร์ ฟัง,กระดานโต้คลื่น
surname,เซ้อร์เนม,นามสกุล
surplus,เซอร์พลัส,"จำนวนที่เกินไป,เกินดุล"
surprise,เซอร์ไพร๊ส,ประหลาดใจ
surrender,เซอร์เร๊นเด้อร์,ยอมแพ้
surround,เซอร์ราวนด์,ล้อมรอบ
survey,เซอร์เฝย์,สำรวจ
survive,เซอร์ไฝ๊ฝ,"รอดตาย,อยู่รอด"
sushi,ซูชิ,ข้าวปั้น
suspect,ซั๊สเพ็คท,สงสัย
suspend,ซัสเพ็นด์,"ระงับ,หยุดชั่วคราว"
sustain,ซัสเทน,ทนทาน
swallow,สว๊อลโล่ว,กลืน
swap,สว๊อพ,"แลก,เปลี่ยน"
swear,สแวร์,สาบาน
sweat,สเว็ท,เหงื่อ
sweep,สวี้พ,กวาด
sweet,สวี้ท,"หวาน,น่ารัก"
swim,สวิม,ว่ายน้ำ
swimming,สวิ๊มมิง,ว่ายน้ำ
swimming pool,สวิ๊มมิง พูล,สระว่ายน้ำ
swine,สไวน์,หมู
swing,สวิง,แกว่ง
switch,สวิทช์,เปลี่ยน
sword,ซ๊อร์ด,กระบี่
syllabus,ซิลลาบัส,หลักสูตร
symbol,ซิ๊มโบล,"เครื่องหมาย,สัญญลักษณ์"
symmetry,ซิ๊มมิทรี่,สมมาตร
sympathy,ซิ๊มพาธี่,"เห็นอกเห็นใจ,สงสาร"
symptom,ซิมพ์ทั่ม,อาการ
syn-,ซิน-,"พร้อมกัน,ด้วยกัน"
synchronize,ซิ๊งโครไน้ซ,"เกิดขึ้นพร้อมกัน,ตรงกัน"
syndrome,ซิ๊นโดรม,อาการ
synonym,ซี๊นโนนีม,มีความหมายเหมือนกัน
synopsis,ซิน๊อพซิส,"เรื่องย่อ,สรุปความ"
synthesis,ซิ๊นธิซิส,สังเคราะห์
Syrup,ซี’รัพ, น้ำเชื่อม
system,ซิ๊สเท่ม,"ระบบ,แบบ"
table,เท๊เบิล,โต๊ะ
table tennis,เท๊เบิล เท็นนิส,ปิงปอง
tablet,แท๊บเหล็ท,ยาเม็ดแบน
taboo,แทบู,"ห้าม,ต้องห้าม"
tackle,แท๊คเคิ่ล,จัดการ
tactics,แท๊คทิคส,"กลยุทธ์,กลเม็ด"
taekwondo,เท๊ควอนโด,เทควันโด
taget,ท๊าเก็ต,"เป้า,เป้าหมาย"
tail,เทล,"หาง,ปลาย"
tailor,เท เลอะ,ช่างตัดเสื้อ
take,เท้ค,"เอา,รับ,ถือเอา"
tale,เทล,"เรื่องเล่า,เรื่องไม่จริง"
talent,แท๊เล้นท,ความสามารถพิเศษ
talk,ท๊อล์ค,"พูด,เจรจา"
tall,ทอลล์,สูง
talus,เท๊เลิส,กระดูกข้อเท้า
Tamarind juice,แทม’มะรินด์ จูสฺ, น้ำมะขามเปียก
tame,เทม,"เชื่อง,ทำให้เชื่อง"
tan,แทน,สีน้ำตาล
tank,แท๊งค,"ถัง,รถถัง"
tap,แทพ,ก๊อกน้ำ
